Dose in , Applikator:1_4.stl , 2.20341  , nanoGy
Dose in , Netzhaut:1_17.stl , 0  , picoGy
Dose in , Sclera:1_3.stl , 2.11872  , nanoGy
Dose in , Linse:1_2.stl , 0  , picoGy
Dose in , Sehnerv:1_1.stl , 0  , picoGy
Dose in , Glaskörper:1_23.stl , 0  , picoGy
Dose in , Cornea:1_3.stl , 0  , picoGy
Dose in , Netzhaut:1_3.stl , 566.286  , picoGy
Dose in , Netzhaut:1_2.stl , 0  , picoGy
Dose in , Cornea:1_2.stl , 5.11004  , nanoGy
Dose in , Sehnerv:1_0.stl , 382.886  , picoGy
Dose in , Glaskörper:1_22.stl , 1.15785  , nanoGy
Dose in , Sclera:1_2.stl , 0  , picoGy
Dose in , Linse:1_3.stl , 0  , picoGy
Dose in , Netzhaut:1_16.stl , 445.261  , picoGy
Dose in , Applikator:1_5.stl , 2.7446  , nanoGy
Dose in , Choroidea:1_18.stl , 845.203  , picoGy
Dose in , Kammerwasser:1_7.stl , 0  , picoGy
Dose in , Sclera:1_16.stl , 383.276  , picoGy
Dose in , Choroidea:1_1.stl , 685.251  , picoGy
Dose in , Glaskörper:1_9.stl , 925.42  , picoGy
Dose in , Glaskörper:1_8.stl , 671.404  , picoGy
Dose in , Choroidea:1_0.stl , 0  , picoGy
Dose in , Sclera:1_17.stl , 0  , picoGy
Dose in , Sclera:1_15.stl , 1.01512  , nanoGy
Dose in , Choroidea:1_2.stl , 0  , picoGy
Dose in , Choroidea:1_3.stl , 462.48  , picoGy
Dose in , Sclera:1_14.stl , 2.83627  , nanoGy
Dose in , Parafovea:1_2.stl , 27.5533  , nanoGy
Dose in , Sclera:1_10.stl , 4.22783  , nanoGy
Dose in , Choroidea:1_7.stl , 0  , picoGy
Dose in , Choroidea:1_6.stl , 677.297  , picoGy
Dose in , Sclera:1_11.stl , 0  , picoGy
Dose in , Parafovea:1_3.stl , 0  , picoGy
Dose in , Parafovea:1_1.stl , 0  , picoGy
Dose in , Sclera:1_13.stl , 4.68755  , nanoGy
Dose in , Choroidea:1_4.stl , 1.20452  , nanoGy
Dose in , Choroidea:1_5.stl , 0  , picoGy
Dose in , Sclera:1_12.stl , 1.49344  , nanoGy
Dose in , Parafovea:1_0.stl , 0  , picoGy
Dose in , Sclera:1_23.stl , 460.294  , picoGy
Dose in , Choroidea:1_8.stl , 0  , picoGy
Dose in , Glaskörper:1_0.stl , 150.014  , picoGy
Dose in , Glaskörper:1_1.stl , 0  , picoGy
Dose in , Choroidea:1_9.stl , 2.74554  , nanoGy
Dose in , Sclera:1_22.stl , 0  , picoGy
Dose in , Sclera:1_20.stl , 12.542  , nanoGy
Dose in , Glaskörper:1_3.stl , 558.237  , picoGy
Dose in , Glaskörper:1_2.stl , 3.02682  , nanoGy
Dose in , Sclera:1_21.stl , 282.29  , picoGy
Dose in , PapilleNetzhaut:1_0.stl , 0  , picoGy
Dose in , Sclera:1_19.stl , 1.0934  , nanoGy
Dose in , Perifovea:1_2.stl , 0  , picoGy
Dose in , Glaskörper:1_6.stl , 309.457  , picoGy
Dose in , Glaskörper:1_7.stl , 316.538  , picoGy
Dose in , Perifovea:1_3.stl , 0  , picoGy
Dose in , Sclera:1_18.stl , 901.967  , picoGy
Dose in , PapilleNetzhaut:1_1.stl , 0  , picoGy
Dose in , Perifovea:1_1.stl , 0  , picoGy
Dose in , Glaskörper:1_5.stl , 990.089  , picoGy
Dose in , Glaskörper:1_4.stl , 920.518  , picoGy
Dose in , Perifovea:1_0.stl , 25.3802  , nanoGy
Dose in , Choroidea:1_15.stl , 2.06862  , nanoGy
Dose in , Glaskörper:1_13.stl , 576.514  , picoGy
