#Name       #Center of gravity
Sclera:1_0;-0.12308620070657446,-0.4076110388927389,-1.1030130490015997
Sclera:1_1;-0.04483894712813696,-0.41258762922595316,-1.1050541807006047
Sclera:1_2;0.04483894713280209,-0.4125876292263498,-1.1050541807013854
Sclera:1_3;0.1230861900278772,-0.40761104192043673,-1.1030130470264448
Sclera:1_4;1.032957935619334e-08,1.0329579267046362e-08,3.1009169510267677e-09
Sclera:1_5;-0.23260555587184614,-0.3248751048825152,-1.1080397080643625
Sclera:1_6;-0.14609160037492214,-0.3400606172757687,-1.1145671869805143
Sclera:1_7;-0.04939607459509643,-0.34640329708232204,-1.1199697738133676
Sclera:1_8;0.0493960733942252,-0.34640329778971607,-1.1199697737696703
Sclera:1_9;0.14609161654830866,-0.3400605841279768,-1.1145671985458903
Sclera:1_10;0.2326055510101198,-0.3248751088929376,-1.1080397048435977
Sclera:1_11;1.0297213384118901e-08,1.032957935619126e-08,3.1009169510268264e-09
Sclera:1_12;-0.32489588336258834,-0.2326325721339174,-1.1080465164367002
Sclera:1_13;-0.24750560330051208,-0.24777102044937455,-1.120148048642145
Sclera:1_14;-0.15010837626995657,-0.2505113164434327,-1.136881384190943
Sclera:1_15;-0.05003557449816342,-0.25050855429843855,-1.1462087181402068
Sclera:1_16;0.05003558450934934,-0.25050855642702813,-1.1462087163112618
Sclera:1_17;0.15010844442945534,-0.25051122564137823,-1.1368813651935366
Sclera:1_18;0.24750560565697316,-0.24777101020570705,-1.1201480512559612
Sclera:1_19;0.32489587933623953,-0.23263257698469003,-1.1080465196620943
Sclera:1_20;-0.40760940051685546,-0.12308420825933183,-1.1030128556454846
Sclera:1_21;-0.34063174657140244,-0.14641767460665625,-1.114824734019989
Sclera:1_22;-0.25018078350230616,-0.15031324802241822,-1.137365119479242
Sclera:1_23;-0.15010522537946716,-0.1503100331404699,-1.1559358771586594
Sclera:1_24;-0.05003454998006543,-0.15030852716227408,-1.1651092804509966
Sclera:1_25;0.050034540428861136,-0.15030854943429678,-1.1651092749094116
Sclera:1_26;0.15010521778279043,-0.15031003721902658,-1.1559358763588183
Sclera:1_27;0.25018087026216157,-0.15031317596838,-1.1373651414950292
Sclera:1_28;0.34063178208414013,-0.14641765837825155,-1.1148247216422527
Sclera:1_29;0.4076093974895336,-0.12308421893946968,-1.1030128576208431
Sclera:1_30;-0.4125875803340301,-0.04483891693679548,-1.1050541756001089
Sclera:1_31;-0.34714768463338547,-0.049535936036726215,-1.120574864717761
Sclera:1_32;-0.2501781294164813,-0.05010499694692155,-1.1469293742212627
Sclera:1_33;-0.15010372543236805,-0.05010397300382285,-1.16534631896613
Sclera:1_34;-0.05003407010045746,-0.050103478490226956,-1.1744455812659695
Sclera:1_35;0.05003405590997121,-0.05010349926357348,-1.174445581370449
Sclera:1_36;0.1501037076243694,-0.050103976562661384,-1.1653463241995985
Sclera:1_37;0.2501781433610508,-0.05010498290797429,-1.1469293776613914
Sclera:1_38;0.34714768390331724,-0.04953593030051577,-1.1205748648510807
Sclera:1_39;0.41258758033363324,-0.04483891693213018,-1.1050541755993282
Sclera:1_40;-0.41258758033363324,0.04483891693212973,-1.1050541755993284
Sclera:1_41;-0.3471476857065797,0.04953593336976211,-1.1205748640231368
Sclera:1_42;-0.2501781295557873,0.05010499761787294,-1.1469293743725557
Sclera:1_43;-0.15010371287080618,0.05010397506049924,-1.1653463237219122
Sclera:1_44;-0.050034056117986815,0.05010349920742674,-1.1744455814489545
Sclera:1_45;0.05003407467604601,0.05010347967210424,-1.1744455813465222
Sclera:1_46;0.15010372877605052,0.05010396844188855,-1.165346318981737
Sclera:1_47;0.25017813232292546,0.05010499411563236,-1.1469293739237305
Sclera:1_48;0.3471476735933472,0.0495359343929515,-1.1205748693960516
Sclera:1_49;0.41258758033403,0.044838916936795606,-1.105054175600109
Sclera:1_50;-0.4076093974895336,0.12308421893946934,-1.1030128576208431
Sclera:1_51;-0.3406317820841403,0.14641765837825169,-1.1148247216422527
Sclera:1_52;-0.2501808702621612,0.15031317596837956,-1.1373651414950292
Sclera:1_53;-0.15010521778279046,0.15031003721902644,-1.1559358763588183
Sclera:1_54;-0.05003454042886122,0.15030854943429678,-1.1651092749094116
Sclera:1_55;0.050034549980065325,0.150308527162274,-1.1651092804509964
Sclera:1_56;0.15010522537946722,0.15031003314046992,-1.1559358771586594
Sclera:1_57;0.25018078350230594,0.1503132480224182,-1.1373651194792422
Sclera:1_58;0.3406317465714027,0.1464176746066563,-1.114824734019989
Sclera:1_59;0.4076094005168554,0.12308420825933182,-1.1030128556454846
Sclera:1_60;-0.3248958793362392,0.23263257698469064,-1.1080465196620943
Sclera:1_61;-0.24750560565697297,0.24777101020570685,-1.1201480512559614
Sclera:1_62;-0.15010844442945534,0.25051122564137823,-1.1368813651935366
Sclera:1_63;-0.050035584509349376,0.25050855642702796,-1.1462087163112618
Sclera:1_64;0.05003557449816346,0.2505085542984387,-1.1462087181402068
Sclera:1_65;0.15010837626995646,0.25051131644343266,-1.136881384190943
Sclera:1_66;0.24750560330051202,0.24777102044937457,-1.1201480486421447
Sclera:1_67;0.3248958833625882,0.23263257213391705,-1.1080465164367002
Sclera:1_68;1.0329579267048675e-08,1.0297213294974795e-08,3.1009169510267275e-09
Sclera:1_69;-0.23260555101011934,0.3248751088929371,-1.108039704843598
Sclera:1_70;-0.14609161654830888,0.34006058412797663,-1.1145671985458905
Sclera:1_71;-0.04939607339422532,0.34640329778971596,-1.1199697737696703
Sclera:1_72;0.04939607459509636,0.34640329708232204,-1.1199697738133676
